 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,258,167,16,1.000,1,100,1,Full,269.000,171.000,0.000,174.289,0.000,0.053,108.454,4.959,258.053,167.000,268.789,170.737
2,1,258,167,16,1.000,1,100,2,Local,269.000,171.000,0.000,19.983,NaN,0.140,83.840,4.548,258.140,166.947,268.719,170.579
3,1,258,167,16,0.990,1,100,3,Local,268.000,170.000,0.000,16.699,NaN,0.211,59.405,6.609,258.263,166.860,268.684,170.421
4,1,258,167,16,0.990,1,100,4,Local,268.000,170.000,0.000,16.699,0.000,0.355,40.467,7.006,258.368,166.789,268.684,170.316
5,1,259,167,16,0.980,1,100,5,Local,269.000,170.000,1.000,16.699,0.000,0.492,27.270,8.023,258.439,166.667,268.667,170.228
6,1,259,166,16,0.980,1,100,6,Local,269.000,170.000,1.000,21.801,NaN,0.577,19.603,7.700,258.474,166.544,268.649,170.175
7,1,259,166,16,0.980,1,100,7,Local,269.000,170.000,0.000,21.801,0.000,0.679,19.827,6.214,258.439,166.474,268.649,170.158
8,1,258,167,16,1.000,1,100,8,Local,269.000,171.000,1.414,19.983,NaN,0.732,20.128,9.878,258.368,166.386,268.667,170.158
9,1,258,166,16,0.980,1,100,9,Local,268.000,170.000,1.000,21.801,NaN,0.732,20.187,9.259,258.263,166.333,268.684,170.158
10,1,258,166,16,0.980,1,100,10,Local,268.000,170.000,0.000,21.801,0.000,0.665,20.162,5.034,258.140,166.281,268.632,170.123
11,1,258,167,16,0.980,1,100,11,Local,269.000,170.000,1.000,15.255,NaN,0.563,20.098,1.442,258.053,166.246,268.579,170.088
12,1,258,166,16,0.980,1,100,12,Local,269.000,170.000,1.000,19.983,NaN,0.478,20.098,0.000,258.000,166.211,268.526,170.053
13,1,258,166,16,0.980,1,100,13,Local,269.000,170.000,0.000,19.983,0.000,0.333,20.423,-2.664,258.000,166.123,268.439,170.000
14,1,258,166,16,0.980,1,100,14,Local,268.000,170.000,0.000,21.801,NaN,0.211,20.621,0.221,258.000,166.088,268.421,170.000
15,1,258,166,16,0.980,1,100,15,Local,268.000,170.000,0.000,21.801,0.000,0.140,20.819,0.221,258.000,166.053,268.404,170.000
16,1,258,166,16,0.980,1,100,16,Local,268.000,170.000,0.000,21.801,0.000,0.053,21.068,1.412,258.000,166.000,268.404,170.000
