 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,131,124,16,1,1,100,1,Full,141,121,0.000,174.289,0.000,0.140,94.771,16.263,131.000,123.912,141.140,121.053
2,1,131,124,16,1,1,100,2,Local,141,121,0.000,-16.699,NaN,0.211,65.139,12.487,131.000,123.877,141.263,121.088
3,1,131,124,16,1,1,100,3,Local,141,121,0.000,-16.699,0.000,0.281,35.766,14.113,131.000,123.842,141.368,121.175
4,1,131,123,16,1,1,100,4,Local,142,121,1.000,-10.305,NaN,0.316,12.852,6.600,131.000,123.842,141.491,121.246
5,1,131,124,16,1,1,100,5,Local,142,122,1.000,-10.305,0.000,0.316,-3.328,4.670,131.000,123.842,141.561,121.333
6,1,131,124,16,1,1,100,6,Local,142,121,0.000,-15.255,NaN,0.281,-12.892,3.906,131.000,123.877,141.561,121.456
7,1,131,124,16,1,1,100,7,Local,141,122,0.000,-11.310,NaN,0.211,-12.628,-1.493,131.000,123.912,141.526,121.544
8,1,131,124,16,1,1,100,8,Local,142,121,0.000,-15.255,NaN,0.140,-12.484,-0.327,131.000,123.947,141.474,121.614
9,1,131,124,16,1,1,100,9,Local,141,122,0.000,-11.310,NaN,0.053,-12.780,-3.281,131.000,124.000,141.439,121.614
10,1,131,124,16,1,1,100,10,Local,141,122,0.000,-11.310,0.000,0.000,-13.040,-3.644,131.000,124.000,141.439,121.561
11,1,131,124,16,1,1,100,11,Local,141,122,0.000,-11.310,0.000,0.000,-13.317,-5.583,131.000,124.000,141.509,121.491
12,1,131,124,16,1,1,100,12,Local,142,121,0.000,-15.255,NaN,0.053,-13.802,-9.770,131.000,123.947,141.632,121.316
13,1,131,124,16,1,1,100,13,Local,142,121,0.000,-15.255,0.000,0.088,-14.293,-4.532,131.000,123.860,141.684,121.123
14,1,131,124,16,1,1,100,14,Local,142,121,0.000,-15.255,0.000,0.175,-14.620,-3.021,131.000,123.684,141.719,120.877
15,1,131,124,16,1,1,100,15,Local,142,121,0.000,-15.255,0.000,0.298,-14.955,2.217,131.000,123.491,141.684,120.632
16,1,131,123,16,1,1,100,16,Local,142,120,1.000,-15.255,0.000,0.421,-14.918,7.915,131.000,123.246,141.579,120.421
17,1,131,123,16,1,1,100,17,Local,141,120,0.000,-16.699,NaN,0.526,-14.691,8.145,131.000,122.965,141.474,120.211
18,1,131,122,16,1,1,100,18,Local,141,120,1.000,-11.310,NaN,0.561,-14.396,9.540,131.000,122.719,141.351,120.053
19,1,131,123,16,1,1,100,19,Local,141,120,1.000,-16.699,NaN,0.561,-13.861,7.208,131.000,122.474,141.263,119.930
20,1,131,122,16,1,1,100,20,Local,141,120,1.000,-11.310,NaN,0.491,-13.672,0.230,131.000,122.298,141.263,119.789
21,1,131,122,16,1,1,100,21,Local,142,119,0.000,-15.255,NaN,0.368,-13.224,1.855,131.000,122.175,141.246,119.754
22,1,131,122,16,1,1,100,22,Local,141,120,0.000,-11.310,NaN,0.263,-12.890,-2.217,131.000,122.088,141.281,119.719
23,1,131,122,16,1,1,100,23,Local,141,120,0.000,-11.310,0.000,0.140,-12.701,0.230,131.000,122.053,141.281,119.719
24,1,131,122,16,1,1,100,24,Local,142,119,0.000,-15.255,NaN,0.053,-12.487,-1.051,131.000,122.000,141.298,119.702
25,1,131,122,16,1,1,100,25,Local,141,120,0.000,-11.310,NaN,0.000,-12.694,-4.187,131.000,122.000,141.351,119.649
26,1,131,122,16,1,1,100,26,Local,141,120,0.000,-11.310,0.000,0.053,-12.572,0.852,131.000,121.947,141.386,119.614
27,1,131,122,16,1,1,100,27,Local,141,120,0.000,-11.310,0.000,0.088,-12.622,-3.697,131.000,121.860,141.509,119.491
28,1,131,122,16,1,1,100,28,Local,142,119,0.000,-15.255,NaN,0.123,-12.552,-0.725,131.000,121.737,141.579,119.368
29,1,131,122,16,1,1,100,29,Local,142,119,0.000,-15.255,0.000,0.158,-12.274,3.463,131.000,121.579,141.596,119.263
30,1,131,121,16,1,1,100,30,Local,142,119,1.000,-10.305,NaN,0.158,-12.100,2.429,131.000,121.421,141.596,119.140
31,1,131,121,16,1,1,100,31,Local,142,119,0.000,-10.305,0.000,0.158,-11.823,5.583,131.000,121.263,141.526,119.053
32,1,131,121,16,1,1,100,32,Local,141,119,0.000,-11.310,NaN,0.123,-11.582,5.945,131.000,121.140,141.421,119.000
33,1,131,121,16,1,1,100,33,Local,141,119,0.000,-11.310,0.000,0.088,-11.306,7.703,131.000,121.053,141.263,119.000
34,1,131,121,16,1,1,100,34,Local,141,119,0.000,-11.310,0.000,0.053,-11.169,4.912,131.000,121.000,141.140,119.000
35,1,131,121,16,1,1,100,35,Local,141,119,0.000,-11.310,0.000,0.000,-11.257,0.906,131.000,121.000,141.053,119.000
36,1,131,121,16,1,1,100,36,Local,141,119,0.000,-11.310,0.000,0.000,-11.310,0.543,131.000,121.000,141.000,119.000
37,1,131,121,16,1,1,100,37,Local,141,119,0.000,-11.310,0.000,0.000,-11.310,0.000,131.000,121.000,141.000,119.000
38,1,131,121,16,1,1,100,38,Local,141,119,0.000,-11.310,0.000,0.000,-11.310,0.000,131.000,121.000,141.000,119.000
39,1,131,121,16,1,1,100,39,Local,141,119,0.000,-11.310,0.000,0.000,-11.594,-0.345,131.000,121.000,141.000,118.947
40,1,131,121,16,1,1,100,40,Local,141,119,0.000,-11.310,0.000,0.000,-11.783,-0.230,131.000,121.000,141.000,118.912
41,1,131,121,16,1,1,100,41,Local,141,119,0.000,-11.310,0.000,0.000,-12.255,-0.574,131.000,121.000,141.000,118.825
42,1,131,121,16,1,1,100,42,Local,141,119,0.000,-11.310,0.000,0.000,-12.917,-0.804,131.000,121.000,141.000,118.702
43,1,131,121,16,1,1,100,43,Local,141,118,0.000,-16.699,NaN,0.000,-13.579,-0.804,131.000,121.000,141.000,118.579
