 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,123,115,16,1,1,100,1,Full,134.000,117.000,0.000,174.289,0.000,0.000,104.526,1.473,123.000,115.000,134.000,116.860
2,1,123,115,16,1,1,100,2,Local,134.000,117.000,0.000,10.305,NaN,0.000,78.006,1.241,123.000,115.000,134.000,116.737
3,1,123,115,16,1,1,100,3,Local,134.000,117.000,0.000,10.305,0.000,0.000,51.307,1.009,123.000,115.000,134.000,116.579
4,1,123,115,16,1,1,100,4,Local,134.000,116.000,0.000,5.194,NaN,0.000,30.362,0.553,123.000,115.000,134.000,116.421
5,1,123,115,16,1,1,100,5,Local,134.000,116.000,0.000,5.194,0.000,0.000,15.170,0.097,123.000,115.000,134.000,116.263
6,1,123,115,16,1,1,100,6,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.912,-0.127,123.000,115.000,134.000,116.140
7,1,123,115,16,1,1,100,7,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.463,-0.579,123.000,115.000,134.000,116.053
8,1,123,115,16,1,1,100,8,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,-0.348,123.000,115.000,134.000,116.000
9,1,123,115,16,1,1,100,9,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
10,1,123,115,16,1,1,100,10,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
11,1,123,115,16,1,1,100,11,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
12,1,123,115,16,1,1,100,12,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
13,1,123,115,16,1,1,100,13,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
14,1,123,115,16,1,1,100,14,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
15,1,123,115,16,1,1,100,15,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
16,1,123,115,16,1,1,100,16,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
17,1,123,115,16,1,1,100,17,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
18,1,123,115,16,1,1,100,18,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
19,1,123,115,16,1,1,100,19,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
20,1,123,115,16,1,1,100,20,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
21,1,123,115,16,1,1,100,21,Local,134.000,116.000,0.000,5.194,0.000,0.000,5.194,0.000,123.000,115.000,134.000,116.000
22,1,123,115,16,1,1,100,22,Local,134.000,116.000,0.000,5.194,0.000,0.053,5.463,0.348,123.000,114.947,134.000,116.000
23,1,123,115,16,1,1,100,23,Local,134.000,116.000,0.000,5.194,0.000,0.088,5.912,0.579,123.000,114.860,134.000,116.000
