 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,231,51,17,1,1,100,1,Full,243.000,50.000,0.000,174.289,0.000,0.140,99.567,13.041,231.088,51.000,243.000,50.140
2,1,231,51,17,1,1,100,2,Local,243.000,50.000,0.000,-4.764,NaN,0.211,71.881,11.033,231.123,51.000,243.000,50.263
3,1,231,51,17,1,1,100,3,Local,243.000,50.000,0.000,-4.764,0.000,0.281,44.361,9.025,231.158,51.000,243.000,50.421
4,1,232,51,17,1,1,100,4,Local,243.000,51.000,1.000,0.000,NaN,0.316,23.125,5.012,231.158,51.000,243.000,50.579
5,1,231,51,17,1,1,100,5,Local,243.000,51.000,1.000,0.000,0.000,0.368,8.170,0.999,231.211,51.000,243.000,50.737
6,1,231,51,17,1,1,100,6,Local,243.000,51.000,0.000,0.000,0.000,0.368,-0.669,-1.007,231.263,51.000,243.000,50.860
7,1,231,51,17,1,1,100,7,Local,243.000,51.000,0.000,0.000,0.000,0.333,-0.251,-5.019,231.351,51.000,243.000,50.947
8,1,231,51,17,1,1,100,8,Local,243.000,51.000,0.000,0.000,0.000,0.298,0.000,-3.012,231.474,51.000,243.000,51.000
9,1,232,51,17,1,1,100,9,Local,243.000,51.000,1.000,0.000,0.000,0.211,0.000,0.000,231.579,51.000,243.000,51.000
10,1,232,51,17,1,1,100,10,Local,243.000,51.000,0.000,0.000,0.000,0.158,0.000,0.000,231.737,51.000,243.000,51.000
11,1,232,51,17,1,1,100,11,Local,243.000,51.000,0.000,0.000,0.000,0.123,0.000,0.000,231.860,51.000,243.000,51.000
12,1,232,51,17,1,1,100,12,Local,243.000,51.000,0.000,0.000,0.000,0.088,0.000,0.000,231.947,51.000,243.000,51.000
13,1,232,51,17,1,1,100,13,Local,243.000,51.000,0.000,0.000,0.000,0.053,0.000,0.000,232.000,51.000,243.000,51.000
14,1,232,51,17,1,1,100,14,Local,243.000,51.000,0.000,0.000,0.000,0.000,0.000,0.000,232.000,51.000,243.000,51.000
15,1,232,51,17,1,1,100,15,Local,243.000,51.000,0.000,0.000,0.000,0.053,-0.273,2.672,232.000,51.053,243.000,51.000
16,1,232,51,17,1,1,100,16,Local,243.000,51.000,0.000,0.000,0.000,0.088,-0.729,4.453,232.000,51.140,243.000,51.000
17,1,232,51,17,1,1,100,17,Local,243.000,51.000,0.000,0.000,0.000,0.175,-1.094,3.563,232.000,51.211,243.000,51.000
18,1,232,51,17,1,1,100,18,Local,243.000,51.000,0.000,0.000,0.000,0.298,-1.731,6.235,232.000,51.333,243.000,51.000
19,1,232,52,16,1,1,100,19,Local,243.000,51.000,1.000,-5.194,NaN,0.368,-2.369,6.235,232.000,51.456,243.000,51.000
20,1,232,52,16,1,1,100,20,Local,243.000,51.000,0.000,-5.194,0.000,0.439,-3.007,6.235,232.000,51.579,243.000,51.000
21,1,232,51,17,1,1,100,21,Local,243.000,51.000,1.000,0.000,NaN,0.439,-3.372,3.563,232.000,51.702,243.000,51.053
22,1,232,52,16,1,1,100,22,Local,243.000,51.000,1.000,-5.194,NaN,0.404,-3.372,0.000,232.000,51.789,243.000,51.140
23,1,232,52,16,1,1,100,23,Local,243.000,51.000,0.000,-5.194,0.000,0.333,-3.190,-1.781,232.000,51.877,243.000,51.263
24,1,232,52,16,1,1,100,24,Local,243.000,51.000,0.000,-5.194,0.000,0.211,-2.825,-3.563,232.000,51.912,243.000,51.368
25,1,232,52,17,1,1,100,25,Local,243.000,52.000,0.000,0.000,NaN,0.140,-2.369,-4.453,232.000,51.947,243.000,51.491
26,1,232,52,17,1,1,100,26,Local,243.000,52.000,0.000,0.000,0.000,0.053,-2.005,-3.563,232.000,52.000,243.000,51.614
27,1,232,52,16,1,1,100,27,Local,243.000,52.000,0.000,0.000,0.000,0.000,-1.549,-4.453,232.000,52.000,243.000,51.702
