 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,78,143,15,1,1,100,1,Full,84.000,138.000,0.000,174.289,0.000,0.074,84.102,3.124,77.947,143.053,84.000,138.000
2,1,78,143,15,1,1,100,2,Local,84.000,138.000,0.000,-39.806,NaN,0.124,50.228,4.376,77.860,143.140,84.000,138.000
3,1,78,143,15,1,1,100,3,Local,84.000,138.000,0.000,-39.806,0.000,0.226,16.592,8.848,77.737,143.211,84.000,138.000
4,1,78,143,15,1,1,100,4,Local,84.000,138.000,0.000,-39.806,0.000,0.311,-9.382,11.969,77.579,143.281,84.000,138.000
5,1,77,144,15,1,1,100,5,Local,84.000,138.000,1.414,-40.601,NaN,0.346,-27.666,13.839,77.421,143.316,84.000,138.000
6,1,77,144,15,1,1,100,6,Local,84.000,138.000,0.000,-40.601,0.000,0.434,-38.526,12.489,77.263,143.368,84.000,138.000
7,1,77,143,15,1,1,100,7,Local,84.000,138.000,1.000,-35.538,NaN,0.419,-38.269,8.675,77.140,143.421,84.000,138.000
8,1,77,143,15,1,1,100,8,Local,84.000,138.000,0.000,-35.538,0.000,0.405,-38.161,5.277,77.053,143.474,84.000,138.000
9,1,77,143,15,1,1,100,9,Local,84.000,138.000,0.000,-35.538,0.000,0.355,-38.380,-0.268,77.000,143.561,84.000,138.000
10,1,77,144,15,1,1,100,10,Local,84.000,138.000,1.000,-40.601,NaN,0.246,-38.736,-4.293,77.000,143.632,84.000,138.000
11,1,77,144,15,1,1,100,11,Local,84.000,138.000,0.000,-40.601,0.000,0.211,-39.269,-6.440,77.000,143.737,84.000,138.000
12,1,77,144,15,1,1,100,12,Local,84.000,138.000,0.000,-40.601,0.000,0.123,-39.891,-7.513,77.000,143.860,84.000,138.000
13,1,77,144,15,1,1,100,13,Local,84.000,138.000,0.000,-40.601,0.000,0.088,-40.335,-5.366,77.000,143.947,84.000,138.000
14,1,77,144,15,1,1,100,14,Local,84.000,138.000,0.000,-40.601,0.000,0.105,-40.335,0.000,77.000,143.947,84.000,138.000
15,1,77,144,15,1,1,100,15,Local,84.000,138.000,0.000,-40.601,0.000,0.162,-39.418,-0.125,76.947,143.807,84.000,138.000
16,1,77,144,15,1,1,100,16,Local,84.000,138.000,0.000,-40.601,0.000,0.299,-38.400,-0.273,76.860,143.649,84.234,137.822
17,1,77,144,15,1,1,100,17,Local,84.000,138.000,0.000,-40.601,0.000,0.419,-43.062,-2.195,76.737,143.456,83.653,137.756
18,1,77,143,15,1,1,100,18,Local,84.000,138.000,1.000,-35.538,NaN,0.504,-45.594,-4.562,76.579,143.263,83.317,137.672
19,1,76,142,15,1,1,100,19,Local,84.000,138.000,1.414,-26.565,NaN,0.539,-48.317,-3.688,76.421,143.105,82.982,137.588
20,1,76,143,15,1,1,100,20,Local,88.439,134.613,1.000,-33.990,NaN,0.504,-56.569,-4.462,76.263,142.982,81.806,137.623
21,1,76,143,15,1,1,100,21,Local,70.000,139.000,0.000,-146.310,NaN,0.472,-59.752,1.324,76.140,142.982,81.350,137.623
22,1,76,143,15,1,1,100,22,Local,84.000,138.000,0.000,-32.005,NaN,0.440,-68.836,2.209,76.053,143.000,80.054,137.795
23,1,76,143,15,1,1,100,23,Local,84.000,138.000,0.000,-32.005,0.000,0.373,-72.381,2.091,76.000,143.070,79.477,137.913
24,1,76,143,15,1,1,100,24,Local,71.000,138.000,0.000,-135.000,NaN,0.386,-72.171,10.222,76.000,143.105,79.409,138.032
25,1,76,144,15,1,1,100,25,Local,84.000,138.000,1.000,-36.870,NaN,0.478,-71.610,4.809,76.053,143.070,79.298,138.211
