 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,96,99,16,1,1,100,1,Full,103.000,106.000,0.000,174.289,0.000,0.158,118.231,13.021,96.000,99.421,102.947,106.000
2,1,96,100,15,1,1,100,2,Local,103.000,106.000,1.000,40.601,NaN,0.158,97.508,14.255,96.000,99.579,102.860,106.000
3,1,96,100,15,1,1,100,3,Local,103.000,106.000,0.000,40.601,0.000,0.158,76.940,15.489,96.000,99.737,102.737,106.000
4,1,96,100,15,1,1,100,4,Local,103.000,106.000,0.000,40.601,0.000,0.175,61.217,14.241,96.000,99.807,102.632,106.000
5,1,96,100,15,1,1,100,5,Local,102.000,106.000,0.000,45.000,NaN,0.228,49.953,9.908,96.000,99.860,102.561,106.000
6,1,96,100,15,1,1,100,6,Local,102.000,106.000,0.000,45.000,0.000,0.263,43.457,8.042,96.000,99.877,102.474,106.000
7,1,96,100,15,1,1,100,7,Local,102.000,106.000,0.000,45.000,0.000,0.281,43.611,1.234,96.000,99.842,102.474,106.000
8,1,96,99,16,1,1,100,8,Local,103.000,106.000,1.000,45.000,0.000,0.316,43.457,-1.234,96.000,99.842,102.509,106.000
9,1,96,100,15,1,1,100,9,Local,103.000,106.000,1.000,40.601,NaN,0.316,43.148,-2.468,96.000,99.842,102.579,106.000
10,1,96,100,15,1,1,100,10,Local,102.000,106.000,0.000,45.000,NaN,0.333,42.685,-3.702,96.000,99.825,102.702,106.000
11,1,96,100,15,1,1,100,11,Local,103.000,106.000,0.000,40.601,NaN,0.351,42.299,-3.085,96.000,99.825,102.789,106.000
12,1,96,100,15,1,1,100,12,Local,103.000,106.000,0.000,40.601,0.000,0.404,42.376,-6.098,96.000,99.772,102.825,106.000
13,1,96,100,15,1,1,100,13,Local,103.000,106.000,0.000,40.601,0.000,0.421,42.685,-2.009,96.000,99.702,102.825,106.000
14,1,96,99,16,1,1,100,14,Local,103.000,106.000,1.000,45.000,NaN,0.439,43.225,-0.158,96.000,99.579,102.825,106.000
15,1,96,100,15,1,1,100,15,Local,103.000,106.000,1.000,40.601,NaN,0.474,43.842,0.459,96.000,99.421,102.842,106.000
16,1,96,99,16,1,1,100,16,Local,102.000,106.000,1.000,49.399,NaN,0.439,44.614,-0.546,96.000,99.298,102.789,106.000
17,1,96,99,16,1,1,100,17,Local,103.000,106.000,0.000,45.000,NaN,0.368,45.540,-3.789,96.000,99.175,102.702,106.000
18,1,96,99,15,1,1,100,18,Local,103.000,106.000,0.000,45.000,0.000,0.263,46.312,-5.023,96.000,99.088,102.614,106.000
19,1,96,99,16,1,1,100,19,Local,103.000,106.000,0.000,45.000,0.000,0.140,47.006,-10.117,96.000,99.053,102.491,106.000
20,1,96,99,16,1,1,100,20,Local,102.000,106.000,0.000,49.399,NaN,0.053,47.778,-9.500,96.000,99.000,102.368,106.000
21,1,96,99,16,1,1,100,21,Local,102.000,106.000,0.000,49.399,0.000,0.000,48.241,-9.729,96.000,99.000,102.263,106.000
22,1,96,99,16,1,1,100,22,Local,102.000,106.000,0.000,49.399,0.000,0.000,48.781,-11.351,96.000,99.000,102.140,106.000
23,1,96,99,16,1,1,100,23,Local,102.000,106.000,0.000,49.399,0.000,0.000,48.936,-3.243,96.000,99.000,102.053,105.947
24,1,96,99,16,1,1,100,24,Local,102.000,106.000,0.000,49.399,0.000,0.000,49.013,-1.622,96.000,99.000,102.000,105.912
25,1,96,99,16,1,1,100,25,Local,102.000,106.000,0.000,49.399,0.000,0.000,48.859,3.243,96.000,99.000,102.000,105.877
26,1,96,99,16,1,1,100,26,Local,102.000,106.000,0.000,49.399,0.000,0.000,48.704,3.243,96.000,99.000,102.000,105.842
27,1,96,99,15,1,1,100,27,Local,102.000,105.000,0.000,45.000,NaN,0.000,48.473,4.865,96.000,99.000,102.000,105.789
