 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,177,165,12,0.910,1,100,1,Full,177.000,165.000,0.000,174.289,0.000,0.000,100.904,9.025,177.000,165.000,182.614,165.000
2,1,177,165,12,0.910,1,100,2,Local,192.000,165.000,0.000,0.000,NaN,0.000,73.385,9.025,177.000,165.000,184.369,165.000
3,1,177,165,12,0.910,1,100,3,Local,192.000,165.000,0.000,0.000,0.000,0.471,43.069,8.201,177.211,165.421,185.947,165.000
4,1,177,165,12,0.890,1,100,4,Local,187.000,165.000,0.000,0.000,0.000,1.255,19.801,6.470,177.351,165.702,187.000,165.000
5,1,177,165,12,0.890,1,100,5,Local,187.000,165.000,0.000,0.000,0.000,1.883,2.648,4.464,177.491,165.982,187.526,165.000
6,1,177,165,13,0.890,1,100,6,Local,187.000,165.000,0.000,0.000,0.000,2.511,-8.389,2.459,177.632,166.263,187.702,165.000
7,1,181,173,11,0.890,1,100,7,Local,187.000,165.000,8.944,-53.130,NaN,2.825,-8.389,0.000,177.632,166.263,187.526,165.000
8,1,177,165,13,0.890,1,100,8,Local,187.000,165.000,8.944,0.000,NaN,2.825,-8.389,0.000,177.632,166.263,187.439,165.000
9,1,177,165,13,0.890,1,100,9,Local,187.000,165.000,0.000,0.000,0.000,2.511,-6.525,0.550,177.491,165.982,187.614,165.000
10,1,177,165,12,0.910,1,100,10,Local,187.000,165.000,0.000,0.000,0.000,2.284,-7.029,-2.016,177.509,166.070,187.790,165.000
11,1,177,165,13,0.920,1,100,11,Local,192.000,165.000,0.000,0.000,0.000,1.976,-9.313,1.833,177.632,166.456,187.790,165.000
12,1,177,165,13,0.900,1,100,12,Local,187.000,165.000,0.000,0.000,0.000,1.827,-10.468,1.223,177.684,166.667,187.790,165.000
13,1,177,165,13,0.880,1,100,13,Local,187.000,165.000,0.000,0.000,0.000,1.880,-14.858,0.474,177.982,167.368,187.614,165.000
14,1,180,172,12,0.890,1,100,14,Local,187.000,165.000,7.616,-45.000,NaN,2.137,-10.345,2.414,178.211,167.895,186.754,165.316
15,1,180,173,11,0.900,1,100,15,Local,187.000,165.000,1.000,-48.814,NaN,2.477,-0.545,-0.259,178.316,168.105,185.289,166.254
16,1,178,167,14,0.910,1,100,16,Local,187.000,165.000,6.325,-12.529,NaN,2.288,15.427,0.606,178.281,168.000,183.330,167.265
17,1,178,167,14,0.920,1,100,17,Local,187.000,165.000,0.000,-12.529,0.000,2.064,37.214,1.868,178.105,167.544,181.230,168.487
18,1,178,167,14,0.900,1,100,18,Local,174.000,171.000,0.000,135.000,NaN,1.618,52.501,2.245,177.860,166.947,179.797,169.340
19,1,177,165,12,0.890,1,100,19,Local,171.161,178.822,2.236,112.901,NaN,1.361,62.788,0.306,177.684,166.526,178.920,169.726
20,1,177,165,12,0.860,1,100,20,Local,174.000,171.000,0.000,116.565,NaN,1.755,69.232,1.076,177.526,166.140,178.324,170.007
21,1,177,165,12,0.920,1,100,21,Local,175.000,171.000,0.000,108.435,NaN,1.878,68.823,-0.623,177.509,166.140,178.336,169.855
22,1,177,165,12,0.900,1,100,22,Local,187.000,164.000,0.000,-5.711,NaN,2.334,68.498,-1.281,177.526,166.211,178.312,169.721
23,1,180,172,12,0.860,1,100,23,Local,187.000,165.000,7.616,-45.000,NaN,2.640,67.979,-0.965,177.526,166.211,178.134,169.830
24,1,177,165,12,0.870,1,100,24,Local,175.000,171.000,7.616,108.435,NaN,2.908,74.881,-3.631,177.772,166.649,177.272,170.290
25,1,177,165,12,0.890,1,100,25,Local,176.000,172.000,0.000,98.130,NaN,3.159,88.593,-3.811,177.947,166.877,175.906,171.218
26,1,177,165,12,0.900,1,100,26,Local,174.000,171.000,0.000,116.565,NaN,3.065,103.665,-9.120,178.193,167.211,174.523,172.146
27,1,178,167,14,0.910,1,100,27,Local,167.393,177.607,2.236,135.000,NaN,2.892,119.737,-7.389,178.474,167.579,173.266,173.035
28,1,181,172,12,0.880,1,100,28,Local,167.178,177.839,5.831,157.099,NaN,2.433,131.412,-0.509,178.632,167.737,172.757,173.491
29,1,179,168,14,0.850,1,100,29,Local,175.000,171.000,4.472,143.130,NaN,2.107,132.774,-3.808,178.860,168.123,172.980,173.882
30,1,179,168,14,0.860,1,100,30,Local,175.000,171.000,0.000,143.130,0.000,2.362,122.267,0.304,179.123,168.596,174.141,173.474
31,1,179,168,14,0.890,1,100,31,Local,177.000,173.000,0.000,111.801,NaN,2.860,112.160,3.859,179.158,168.702,175.144,173.277
32,1,179,169,14,0.890,1,100,32,Local,176.000,173.000,1.000,126.870,NaN,3.293,102.175,-0.324,179.140,168.684,176.175,172.858
33,1,178,167,14,0.870,1,100,33,Local,172.161,180.822,2.236,112.901,NaN,3.790,92.086,2.650,178.965,168.421,176.771,172.664
34,1,182,174,11,0.890,1,100,34,Local,187.000,164.000,8.062,-63.435,NaN,4.652,75.472,1.699,178.930,168.491,176.566,172.868
35,1,177,165,12,0.850,1,100,35,Local,176.000,173.000,10.296,97.125,NaN,5.470,65.570,3.090,178.965,168.596,176.478,172.763
36,1,179,168,14,0.870,1,100,36,Local,175.000,171.000,3.606,143.130,NaN,5.957,61.366,6.217,178.789,168.333,175.941,173.303
37,1,177,165,12,0.880,1,100,37,Local,171.161,178.822,3.606,112.901,NaN,5.876,57.477,4.250,178.684,168.158,175.584,173.412
38,1,181,174,11,0.870,1,100,38,Local,175.000,171.000,9.849,-153.435,NaN,5.760,47.865,11.667,178.667,168.105,175.381,173.454
39,1,179,168,14,0.910,1,100,39,Local,176.000,173.000,6.325,120.964,NaN,5.438,45.946,6.307,178.526,167.877,174.953,173.843
40,1,177,165,12,0.910,1,100,40,Local,175.466,179.923,3.606,95.868,-0.065,4.838,44.985,3.676,178.544,167.930,174.956,174.068
41,1,177,165,12,0.890,1,100,41,Local,175.000,171.000,0.000,108.435,-0.002,4.687,42.553,1.934,178.491,167.719,175.026,174.138
42,1,181,172,12,0.880,1,100,42,Local,176.000,171.000,8.062,-168.690,NaN,4.350,51.949,-1.573,178.491,167.544,175.217,173.863
43,1,178,167,14,0.880,1,100,43,Local,176.000,172.000,5.831,111.801,NaN,3.769,66.234,-5.655,178.456,167.211,175.242,173.983
44,1,178,168,14,0.890,1,100,44,Local,172.161,181.822,1.000,112.901,NaN,3.331,76.684,-5.382,178.544,167.018,175.383,173.722
45,1,178,164,13,0.890,1,100,45,Local,175.000,171.000,4.000,113.199,NaN,3.133,79.233,0.350,178.877,167.333,176.236,173.042
46,1,179,167,14,0.920,1,100,46,Local,177.000,173.000,3.162,108.435,NaN,3.135,85.120,0.010,179.228,167.491,177.055,172.487
47,1,179,167,14,0.940,1,100,47,Local,177.000,172.000,0.000,111.801,NaN,2.872,95.936,0.844,179.544,167.491,177.608,172.288
48,1,180,167,14,0.910,1,100,48,Local,177.000,172.000,1.000,120.964,NaN,2.750,91.396,4.269,180.018,167.719,178.308,171.889
49,1,182,173,11,0.870,1,100,49,Local,189.000,165.000,6.325,-48.814,-0.415,2.770,92.222,-1.806,180.368,167.632,178.637,171.563
