 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,258,57,11,0.930,1,100,1,Full,255.000,70.000,0.000,174.289,0.000,0.000,144.271,14.699,258.000,57.000,255.000,70.000
2,1,258,57,11,0.930,1,100,2,Local,255.000,70.000,0.000,102.995,NaN,0.000,133.013,14.699,258.000,57.000,255.000,70.000
3,1,258,57,11,0.930,1,100,3,Local,255.000,70.000,0.000,102.995,0.000,0.000,121.756,14.699,258.000,57.000,255.000,70.000
4,1,258,57,11,0.930,1,100,4,Local,255.000,70.000,0.000,102.995,0.000,0.000,113.001,11.433,258.000,57.000,255.000,70.000
5,1,258,57,11,0.930,1,100,5,Local,255.000,70.000,0.000,102.995,0.000,0.000,106.747,8.166,258.000,57.000,255.000,70.000
6,1,258,57,11,0.930,1,100,6,Local,255.000,70.000,0.000,102.995,0.000,0.000,102.995,4.900,258.000,57.000,255.000,70.000
7,1,258,57,11,0.930,1,100,7,Local,255.000,70.000,0.000,102.995,0.000,0.000,102.995,0.000,258.000,57.000,255.000,70.000
8,1,258,57,11,0.930,1,100,8,Local,255.000,70.000,0.000,102.995,0.000,0.074,94.429,-1.731,258.053,56.947,255.579,68.632
9,1,258,57,11,0.930,1,100,9,Local,255.000,70.000,0.000,102.995,0.000,0.124,80.154,-2.884,258.140,56.860,256.544,66.351
10,1,258,57,11,0.930,1,100,10,Local,255.000,70.000,0.000,102.995,0.000,0.710,55.238,-5.653,258.158,57.263,257.211,64.211
11,1,258,57,11,0.930,1,100,11,Local,255.000,70.000,0.000,102.995,0.000,1.603,28.971,-9.330,258.246,57.509,258.860,61.386
12,1,259,56,11,0.900,1,100,12,Local,266.000,44.000,1.414,-59.744,NaN,2.761,0.507,-10.004,258.281,58.263,260.018,59.000
