 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,81,74,15,1,1,100,1,Full,91.000,77.000,0.000,174.289,0.000,0.000,107.936,1.456,81.000,74.000,91.000,77.000
2,1,81,74,15,1,1,100,2,Local,91.000,77.000,0.000,16.699,NaN,0.053,83.144,2.764,81.053,74.000,91.000,77.000
3,1,81,74,15,1,1,100,3,Local,91.000,77.000,0.000,16.699,0.000,0.088,58.414,3.636,81.140,74.000,91.000,77.000
4,1,81,74,15,1,1,100,4,Local,91.000,77.000,0.000,16.699,0.000,0.175,39.183,2.877,81.211,74.000,91.000,77.000
5,1,81,74,15,1,1,100,5,Local,91.000,77.000,0.000,16.699,0.000,0.246,25.481,2.553,81.281,74.000,91.000,77.000
6,1,82,74,15,1,1,100,6,Local,91.000,77.000,1.000,18.435,NaN,0.333,17.339,2.666,81.368,74.000,91.000,77.000
7,1,82,74,15,1,1,100,7,Local,91.000,77.000,0.000,18.435,0.000,0.404,17.491,2.181,81.456,74.000,91.000,77.000
8,1,81,74,15,1,1,100,8,Local,91.000,77.000,1.000,16.699,NaN,0.456,17.552,0.872,81.491,74.000,91.000,77.000
9,1,81,74,15,1,1,100,9,Local,91.000,77.000,0.000,16.699,0.000,0.491,17.552,0.000,81.491,74.000,91.000,77.000
10,1,82,74,15,1,1,100,10,Local,91.000,77.000,1.000,18.435,NaN,0.509,17.582,0.436,81.509,74.000,91.000,77.000
11,1,82,74,15,1,1,100,11,Local,91.000,77.000,0.000,18.435,0.000,0.544,17.491,-1.308,81.456,74.000,91.000,77.000
12,1,81,74,15,1,1,100,12,Local,91.000,77.000,1.000,16.699,NaN,0.544,17.400,-1.308,81.404,74.000,91.000,77.000
13,1,81,74,15,1,1,100,13,Local,91.000,77.000,0.000,16.699,0.000,0.526,17.339,-0.872,81.368,74.000,91.000,77.000
14,1,82,74,15,1,1,100,14,Local,91.000,77.000,1.000,18.435,NaN,0.491,16.933,-2.089,81.298,74.000,91.000,76.947
15,1,81,74,15,1,1,100,15,Local,91.000,77.000,1.000,16.699,NaN,0.404,16.592,-2.410,81.211,74.000,91.000,76.912
16,1,81,74,15,1,1,100,16,Local,91.000,77.000,0.000,16.699,0.000,0.333,16.251,-2.410,81.123,74.000,91.000,76.877
17,1,81,74,15,1,1,100,17,Local,91.000,77.000,0.000,16.699,0.000,0.211,16.001,-1.102,81.088,74.000,91.000,76.842
18,1,81,74,15,1,1,100,18,Local,91.000,76.000,0.000,11.310,NaN,0.140,15.940,-0.872,81.053,74.000,91.000,76.842
19,1,81,74,15,1,1,100,19,Local,91.000,77.000,0.000,16.699,NaN,0.105,15.940,0.000,81.053,74.000,91.000,76.842
20,1,81,74,15,1,1,100,20,Local,91.000,77.000,0.000,16.699,0.000,0.140,16.190,1.102,81.088,74.000,91.000,76.877
21,1,81,74,15,1,1,100,21,Local,91.000,77.000,0.000,16.699,0.000,0.263,16.531,2.410,81.175,74.000,91.000,76.912
22,1,81,74,15,1,1,100,22,Local,91.000,77.000,0.000,16.699,0.000,0.421,16.842,1.974,81.246,74.000,91.000,76.947
23,1,82,74,15,1,1,100,23,Local,91.000,77.000,1.000,18.435,NaN,0.579,17.278,2.525,81.333,74.000,91.000,77.000
24,1,81,74,15,1,1,100,24,Local,91.000,77.000,1.000,16.699,NaN,0.737,17.400,1.745,81.404,74.000,91.000,77.000
25,1,82,74,15,1,1,100,25,Local,91.000,77.000,1.000,18.435,NaN,0.860,17.491,1.308,81.456,74.000,91.000,77.000
26,1,81,74,15,1,1,100,26,Local,91.000,77.000,1.000,16.699,NaN,0.895,17.643,2.181,81.544,74.000,91.000,77.000
27,1,82,74,15,1,1,100,27,Local,91.000,77.000,1.000,18.435,NaN,0.860,17.735,1.308,81.596,74.000,91.000,77.000
28,1,81,74,15,1,1,100,28,Local,91.000,77.000,1.000,16.699,NaN,0.737,17.856,1.745,81.667,74.000,91.000,77.000
29,1,82,74,15,1,1,100,29,Local,91.000,77.000,1.000,18.435,NaN,0.632,17.917,0.872,81.702,74.000,91.000,77.000
30,1,82,74,15,1,1,100,30,Local,91.000,77.000,0.000,18.435,0.000,0.561,17.978,0.872,81.737,74.000,91.000,77.000
31,1,82,74,15,1,1,100,31,Local,91.000,77.000,0.000,18.435,0.000,0.526,17.695,-0.345,81.737,74.000,91.000,76.947
32,1,82,74,15,1,1,100,32,Local,91.000,77.000,0.000,18.435,0.000,0.509,17.353,-2.410,81.649,74.000,91.000,76.912
