 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,270,74,11,1,1,100,1,Full,278.000,79.000,0.000,174.289,0.000,0.223,107.609,10.613,269.579,73.579,277.368,78.211
2,1,269,73,10,1,1,100,2,Local,278.000,79.000,1.414,33.690,NaN,0.223,77.810,10.793,269.421,73.421,276.842,77.263
3,1,269,73,10,1,1,100,3,Local,278.000,79.000,0.000,33.690,0.000,0.223,48.256,9.592,269.263,73.263,276.404,76.351
4,1,269,73,10,1,1,100,4,Local,278.000,79.000,0.000,33.690,0.000,0.174,23.276,1.949,269.140,73.140,276.201,75.465
5,1,269,73,10,1,1,100,5,Local,266.000,64.000,0.000,-108.435,NaN,0.124,6.633,1.212,269.053,73.053,276.335,74.793
6,1,269,73,10,1,1,100,6,Local,276.000,71.000,0.000,-15.945,NaN,0.074,-4.518,-2.800,269.000,73.000,276.855,74.191
7,1,269,73,10,1,1,100,7,Local,279.000,77.000,0.000,21.801,NaN,0.000,-4.048,-4.946,269.000,73.000,277.972,73.975
8,1,269,73,10,1,1,100,8,Local,282.822,78.839,0.000,22.901,NaN,0.000,-2.639,-2.298,269.000,73.000,279.200,73.834
9,1,269,73,10,1,1,100,9,Local,278.000,73.000,0.000,0.000,NaN,0.000,5.554,1.871,269.000,73.000,279.498,74.290
10,1,269,73,10,1,1,100,10,Local,284.000,73.000,0.000,0.000,0.000,0.000,21.022,2.758,269.000,73.000,278.975,75.495
11,1,269,73,10,1,1,100,11,Local,284.000,73.000,0.000,0.000,0.000,0.000,24.151,-2.187,269.000,73.000,277.477,75.410
12,1,269,73,10,1,1,100,12,Local,284.000,73.000,0.000,0.000,0.000,0.000,24.995,-0.554,269.000,73.000,275.382,75.045
13,1,269,73,10,1,1,100,13,Local,263.000,83.000,0.000,120.964,NaN,0.000,20.853,-3.839,269.000,73.000,273.725,73.985
14,1,269,73,10,1,1,100,14,Local,260.613,85.439,0.000,123.990,NaN,0.000,11.986,-5.931,269.000,73.000,272.779,72.423
15,1,269,73,10,1,1,100,15,Local,269.000,61.000,0.000,-90.000,NaN,0.000,0.455,-7.855,269.000,73.000,272.625,70.559
16,1,269,73,10,1,1,100,16,Local,274.000,67.000,0.000,-50.194,NaN,0.000,-20.721,-2.181,269.000,73.000,272.404,68.339
17,1,269,73,10,1,1,100,17,Local,279.607,62.393,0.000,-45.000,NaN,0.000,-32.649,-2.660,269.000,73.000,273.092,67.439
18,1,269,73,10,1,1,100,18,Local,279.607,62.393,0.000,-45.000,0.000,0.000,-42.202,0.523,269.000,73.000,274.588,67.247
19,1,269,73,10,1,1,100,19,Local,279.607,62.393,0.000,-45.000,0.000,0.000,-43.812,5.646,269.000,73.000,275.585,68.224
20,1,269,73,10,1,1,100,20,Local,259.000,67.000,0.000,-149.036,NaN,0.000,-39.232,1.159,269.000,73.000,275.646,70.455
21,1,269,73,10,1,1,100,21,Local,280.000,81.000,0.000,36.027,NaN,0.000,-43.686,2.950,269.000,73.000,274.221,71.980
22,1,269,73,10,1,1,100,22,Local,281.439,81.387,0.000,33.990,NaN,0.000,-43.859,1.097,269.000,73.000,273.503,73.288
23,1,269,73,10,1,1,100,23,Local,281.000,78.000,0.000,22.620,NaN,0.000,-43.141,3.096,269.000,73.000,272.246,74.172
24,1,269,73,10,1,1,100,24,Local,264.000,71.000,0.000,-158.199,NaN,0.000,-37.081,3.541,269.000,73.000,271.187,74.757
25,1,269,73,10,1,1,100,25,Local,255.178,67.161,0.000,-157.099,NaN,0.000,-25.883,-0.324,269.000,73.000,271.470,75.094
26,1,269,73,10,1,1,100,26,Local,278.000,71.000,0.000,-12.529,NaN,0.000,-15.884,7.322,269.000,73.000,271.355,75.452
27,1,269,73,10,1,1,100,27,Local,270.000,80.000,0.000,81.870,NaN,0.000,-2.081,4.796,269.000,73.000,272.517,76.001
28,1,269,73,10,1,1,100,28,Local,271.000,81.000,0.000,75.964,NaN,0.000,11.043,4.007,269.000,73.000,274.294,76.739
29,1,269,73,10,1,1,100,29,Local,280.000,79.000,0.000,28.610,NaN,0.000,24.463,2.614,269.000,73.000,276.892,77.373
30,1,269,73,10,1,1,100,30,Local,281.439,81.387,0.000,33.990,NaN,0.000,28.661,-3.048,269.000,73.000,279.488,77.482
31,1,269,73,10,1,1,100,31,Local,282.000,75.000,0.000,8.746,NaN,0.000,24.682,-5.254,269.000,73.000,280.672,77.275
32,1,269,73,10,1,1,100,32,Local,283.923,74.534,0.000,5.868,NaN,0.000,17.986,-7.340,269.000,73.000,281.888,76.712
33,1,269,73,10,1,1,100,33,Local,283.923,74.534,0.000,5.868,0.000,0.000,14.557,-9.352,269.000,73.000,282.626,76.457
34,1,269,73,10,1,1,100,34,Local,283.923,74.534,0.000,5.868,0.000,0.000,20.321,-7.763,269.000,73.000,281.776,76.624
35,1,269,73,10,1,1,100,35,Local,280.000,78.000,0.000,24.444,NaN,0.000,30.865,-6.018,269.000,73.000,280.290,76.783
36,1,269,73,10,1,1,100,36,Local,282.822,78.839,0.000,22.901,NaN,0.000,40.720,0.013,269.000,73.000,278.853,77.247
37,1,269,73,10,1,1,100,37,Local,282.822,78.839,0.000,22.901,0.000,0.000,50.125,1.885,269.000,73.000,277.502,77.647
38,1,269,73,10,1,1,100,38,Local,265.000,79.000,0.000,123.690,NaN,0.000,55.396,2.923,269.000,73.000,276.816,77.890
