 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,315,84,10,0.890,1,100,1,Full,315.000,84.000,0.000,174.289,0.000,0.655,108.276,13.612,314.789,83.333,317.416,86.311
2,1,315,84,10,0.890,1,100,2,Local,325.607,94.607,0.000,45.000,NaN,1.068,86.232,13.699,314.439,82.333,317.297,86.683
3,1,315,84,10,0.890,1,100,3,Local,325.607,94.607,0.000,45.000,0.000,1.555,55.241,11.172,313.895,80.895,316.402,85.402
4,1,315,83,11,0.910,1,100,4,Local,311.000,74.000,1.000,-113.962,NaN,2.618,43.593,6.495,313.439,79.649,315.170,84.504
5,1,311,73,11,0.910,1,100,5,Local,311.000,88.000,10.770,90.000,NaN,3.659,24.520,4.465,312.912,78.228,313.321,81.830
6,1,311,73,10,0.900,1,100,6,Local,311.000,88.000,0.000,90.000,0.000,4.550,8.410,1.892,312.333,76.789,311.339,78.428
7,1,310,72,10,0.890,1,100,7,Local,306.000,61.000,1.414,-109.983,NaN,4.988,-2.578,-3.432,311.895,75.737,309.248,74.601
8,1,315,83,11,0.890,1,100,8,Local,310.000,84.000,12.083,168.690,NaN,5.003,-17.684,0.914,311.421,74.684,307.876,70.880
9,1,311,73,11,0.920,1,100,9,Local,306.000,60.000,10.770,-111.038,NaN,4.572,-18.765,3.986,311.088,74.035,307.607,69.155
10,1,310,72,10,0.910,1,100,10,Local,304.161,58.178,1.414,-112.901,NaN,3.606,-37.275,0.921,310.877,73.614,307.054,66.796
11,1,310,72,10,0.910,1,100,11,Local,304.161,58.178,0.000,-112.901,0.000,3.371,-48.109,-2.371,310.912,73.754,307.156,66.179
12,1,310,72,10,0.910,1,100,12,Local,312.000,73.000,0.000,26.565,NaN,3.391,-47.344,-1.082,310.965,73.860,308.322,67.116
13,1,310,72,10,0.900,1,100,13,Local,311.000,73.000,0.000,45.000,NaN,3.219,-52.637,-3.497,310.912,73.737,309.952,67.759
14,1,311,73,11,0.910,1,100,14,Local,300.393,62.393,1.414,-135.000,NaN,3.570,-43.709,-7.039,311.123,74.298,312.495,69.597
15,1,315,83,11,0.890,1,100,15,Local,312.000,74.000,10.770,-108.435,NaN,4.502,-41.933,-4.335,311.456,75.053,314.651,70.967
16,1,311,74,11,0.910,1,100,16,Local,326.000,74.000,9.849,0.000,NaN,5.591,-36.303,-6.262,311.632,75.509,317.070,72.409
17,1,310,72,10,0.910,1,100,17,Local,324.923,73.534,2.236,5.868,NaN,6.648,-39.883,-5.353,311.895,76.158,318.363,72.985
18,1,311,75,12,0.900,1,100,18,Local,325.923,73.466,3.162,-5.868,NaN,7.673,-37.117,-5.989,312.000,76.439,318.913,74.167
19,1,315,83,11,0.890,1,100,19,Local,312.000,73.000,8.944,-106.699,NaN,8.069,-32.729,-0.774,311.912,76.316,318.831,74.607
20,1,310,72,10,0.890,1,100,20,Local,323.822,77.839,12.083,22.901,NaN,7.815,-29.353,-0.331,311.754,75.947,317.322,74.618
21,1,315,83,11,0.890,1,100,21,Local,311.000,74.000,12.083,-113.962,NaN,7.217,-21.982,-3.353,311.491,75.351,315.938,75.196
22,1,310,72,10,0.900,1,100,22,Local,315.839,85.822,12.083,67.099,NaN,6.417,-23.591,-1.726,311.333,75.018,314.351,75.050
23,1,310,72,10,0.900,1,100,23,Local,307.000,60.000,0.000,-104.036,NaN,5.553,-21.267,-4.646,311.175,74.667,313.427,75.433
24,1,310,72,10,0.890,1,100,24,Local,312.000,75.000,0.000,56.310,NaN,4.675,-19.808,-0.251,310.912,74.123,313.102,75.232
25,1,310,72,10,0.910,1,100,25,Local,318.387,84.439,0.000,56.010,NaN,3.883,-28.388,-1.807,310.912,74.158,312.205,74.334
26,1,311,75,12,0.910,1,100,26,Local,311.000,74.000,3.162,-90.000,NaN,4.040,-36.468,-0.063,311.053,74.474,312.035,73.744
27,1,314,81,12,0.910,1,100,27,Local,312.000,75.000,6.708,-108.435,NaN,4.809,-47.954,1.561,311.228,74.860,312.223,72.475
28,1,310,72,10,0.900,1,100,28,Local,312.000,72.000,9.849,0.000,NaN,5.546,-46.188,2.975,311.368,75.140,312.402,72.705
29,1,310,72,10,0.910,1,100,29,Local,306.000,60.000,0.000,-108.435,NaN,6.048,-40.119,10.098,311.368,75.105,312.459,73.146
30,1,315,83,11,0.930,1,100,30,Local,311.000,72.000,12.083,-109.983,NaN,5.780,-25.052,11.643,311.193,74.684,312.368,74.053
31,1,310,72,10,0.940,1,100,31,Local,325.000,72.000,12.083,0.000,NaN,5.033,1.505,14.799,311.000,74.211,312.316,76.526
32,1,310,72,10,0.930,1,100,32,Local,310.000,84.000,0.000,90.000,NaN,3.910,29.087,13.052,310.614,73.351,312.246,79.158
33,1,310,72,10,0.920,1,100,33,Local,310.000,87.000,0.000,90.000,0.000,2.596,50.961,10.041,310.439,73.018,311.719,81.790
34,1,310,72,10,0.940,1,100,34,Local,310.000,87.000,0.000,90.000,0.000,1.836,71.580,9.247,310.263,72.772,311.368,84.369
35,1,310,72,10,0.920,1,100,35,Local,310.000,87.000,0.000,90.000,0.000,1.317,74.911,2.061,310.211,72.825,310.842,84.965
36,1,310,72,10,0.920,1,100,36,Local,310.000,87.000,0.000,90.000,0.000,1.065,62.677,-3.685,310.561,73.807,310.193,84.509
37,1,310,73,11,0.920,1,100,37,Local,310.000,84.000,1.000,90.000,0.000,1.981,44.326,-7.472,310.842,74.579,311.088,82.895
38,1,310,74,11,0.890,1,100,38,Local,310.000,89.000,1.000,90.000,0.000,3.240,31.551,-7.718,311.333,75.807,311.719,81.105
39,1,314,82,11,0.900,1,100,39,Local,311.000,72.000,8.944,-106.699,NaN,3.960,27.685,-7.011,311.825,77.000,312.316,79.860
40,1,314,82,11,0.900,1,100,40,Local,312.000,72.000,0.000,-101.310,NaN,5.117,19.105,-3.781,312.105,77.702,312.632,77.702
41,1,310,72,10,0.900,1,100,41,Local,325.000,72.000,10.770,0.000,NaN,5.895,13.344,-2.395,312.456,78.544,312.359,76.080
42,1,314,82,11,0.930,1,100,42,Local,310.000,83.000,10.770,165.964,NaN,6.592,15.189,2.280,312.456,78.596,312.049,75.349
