 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,232,167,12,0.960,1,100,1,Full,232.000,167.000,0.000,174.289,0.000,0.444,97.043,6.529,232.088,167.263,235.790,166.789
2,1,232,167,12,0.960,1,100,2,Local,247.000,167.000,0.000,0.000,NaN,0.666,75.750,5.885,232.123,167.368,235.947,167.105
3,1,232,167,12,0.960,1,100,3,Local,247.000,167.000,0.000,0.000,0.000,0.888,58.119,9.219,232.158,167.474,235.526,167.632
4,1,233,170,15,0.950,1,100,4,Local,229.000,161.000,3.162,-113.962,NaN,0.999,54.642,7.152,232.158,167.474,234.412,168.991
5,1,232,167,12,0.960,1,100,5,Local,229.000,173.000,3.162,116.565,NaN,1.116,57.735,2.986,232.211,167.579,232.590,170.657
6,1,232,167,13,0.960,1,100,6,Local,229.000,173.000,0.000,116.565,0.000,1.201,70.635,4.460,232.211,167.544,230.951,172.438
7,1,232,167,12,0.950,1,100,7,Local,230.000,173.000,0.000,108.435,NaN,1.303,90.361,-2.976,232.263,167.667,229.118,173.991
8,1,232,167,13,0.950,1,100,8,Local,226.161,180.822,0.000,112.901,NaN,1.515,105.466,-1.541,232.298,167.737,227.868,175.470
9,1,233,169,14,0.950,1,100,9,Local,224.613,181.439,2.236,123.990,NaN,1.538,118.377,-1.175,232.281,167.684,227.583,176.823
10,1,232,167,12,0.940,1,100,10,Local,229.000,174.000,2.236,113.199,NaN,1.646,119.038,0.247,232.263,167.789,227.449,177.098
11,1,233,170,15,0.950,1,100,11,Local,229.000,173.000,3.162,143.130,NaN,1.767,106.379,3.540,232.193,167.719,227.468,176.444
12,1,232,167,12,0.950,1,100,12,Local,226.161,180.822,3.162,112.901,NaN,1.733,96.373,2.002,232.070,167.649,227.780,176.113
13,1,232,167,12,0.950,1,100,13,Local,226.161,180.822,0.000,112.901,0.000,1.719,73.539,8.354,231.982,167.579,228.224,174.598
14,1,231,167,12,0.950,1,100,14,Local,229.000,173.000,1.000,108.435,NaN,1.588,42.808,7.415,231.895,167.439,228.545,172.240
15,1,232,167,13,0.950,1,100,15,Local,229.000,161.000,1.000,-116.565,NaN,1.579,12.784,4.453,231.912,167.509,228.688,169.865
16,1,231,167,12,0.990,1,100,16,Local,233.000,181.000,1.000,81.870,NaN,1.522,-24.792,2.091,232.018,167.596,228.723,166.995
17,1,233,169,14,0.970,1,100,17,Local,229.000,161.000,2.828,-116.565,NaN,1.443,-38.691,-4.568,232.175,167.842,228.755,164.971
18,1,232,167,12,0.960,1,100,18,Local,226.161,153.178,2.236,-112.901,NaN,1.416,-42.469,-1.733,232.404,168.158,228.221,163.884
19,1,233,169,14,0.960,1,100,19,Local,227.161,155.178,2.236,-112.901,0.000,1.194,-42.853,-4.397,232.614,168.404,227.749,163.546
20,1,233,169,14,0.960,1,100,20,Local,229.000,162.000,0.000,-119.745,NaN,0.928,-31.219,-1.117,232.772,168.649,227.281,163.774
