 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,85,85,15,0.990,1,100,1,Full,85.000,85.000,0.000,174.289,0.000,0.000,100.904,9.025,85.000,85.000,91.316,85.000
2,1,85,85,15,0.990,1,100,2,Local,100.000,85.000,0.000,0.000,NaN,0.000,81.711,11.738,85.000,85.000,92.632,85.105
3,1,85,85,15,0.990,1,100,3,Local,100.000,85.000,0.000,0.000,0.000,0.074,68.605,7.953,85.053,85.053,92.788,85.387
4,1,85,85,15,0.990,1,100,4,Local,100.000,85.000,0.000,0.000,0.000,0.124,67.521,4.027,85.140,85.140,91.411,85.810
5,1,85,85,15,0.990,1,100,5,Local,100.000,85.000,0.000,0.000,0.000,0.174,78.461,0.101,85.263,85.263,88.501,86.375
6,1,85,85,15,0.990,1,100,6,Local,80.000,87.000,0.000,158.199,NaN,0.223,94.117,-2.486,85.421,85.421,85.375,87.009
7,1,86,86,15,1.000,1,100,7,Local,71.304,89.023,1.414,168.376,NaN,0.223,117.775,-3.397,85.579,85.579,81.870,87.642
8,1,86,86,15,0.990,1,100,8,Local,71.304,89.023,0.000,168.376,0.000,0.223,134.711,-3.107,85.737,85.737,79.478,88.204
9,1,86,86,15,0.990,1,100,9,Local,71.304,89.023,0.000,168.376,0.000,0.174,144.568,0.911,85.860,85.860,78.102,89.025
10,1,86,86,15,0.990,1,100,10,Local,83.000,89.000,0.000,135.000,NaN,0.124,148.517,2.832,85.947,85.947,77.466,89.971
11,1,86,86,15,0.990,1,100,11,Local,83.000,89.000,0.000,135.000,0.000,0.074,143.783,3.848,86.000,86.000,78.268,90.660
12,1,86,86,15,0.990,1,100,12,Local,83.000,89.000,0.000,135.000,0.000,0.000,139.684,7.343,86.000,86.000,78.735,91.627
13,1,86,86,15,0.990,1,100,13,Local,75.393,96.607,0.000,135.000,0.000,0.000,136.757,5.245,86.000,86.000,78.792,92.594
14,1,86,86,15,0.990,1,100,14,Local,75.393,96.607,0.000,135.000,0.000,0.000,135.000,3.147,86.000,86.000,78.438,93.562
15,1,86,86,15,0.990,1,100,15,Local,82.000,90.000,0.000,135.000,0.000,0.000,135.000,0.000,86.000,86.000,77.504,94.496
16,1,86,86,15,0.990,1,100,16,Local,75.393,96.607,0.000,135.000,0.000,0.000,126.497,-3.253,86.000,86.000,77.816,94.395
17,1,86,86,15,0.990,1,100,17,Local,75.393,96.607,0.000,135.000,0.000,0.000,112.517,-0.054,86.000,86.000,79.122,93.649
18,1,86,86,15,0.990,1,100,18,Local,75.393,96.607,0.000,135.000,0.000,0.000,92.804,-4.012,86.000,86.000,81.380,92.022
19,1,86,86,15,0.990,1,100,19,Local,75.393,96.607,0.000,135.000,0.000,0.000,67.423,-6.181,86.000,86.000,84.290,89.883
20,1,86,86,15,0.990,1,100,20,Local,94.000,82.000,0.000,-26.565,NaN,0.000,42.234,-0.813,86.000,86.000,87.391,87.763
21,1,86,86,15,0.990,1,100,21,Local,99.822,80.161,0.000,-22.901,NaN,0.000,10.811,-3.289,86.000,86.000,89.849,85.392
22,1,86,86,15,0.990,1,100,22,Local,94.000,82.000,0.000,-26.565,NaN,0.000,-4.853,3.720,86.000,86.000,91.303,83.955
23,1,86,86,15,0.990,1,100,23,Local,94.000,82.000,0.000,-26.565,0.000,0.000,-9.745,0.362,86.000,86.000,91.231,83.820
24,1,86,86,15,0.990,1,100,24,Local,99.822,80.161,0.000,-22.901,NaN,0.000,-3.663,4.761,86.000,86.000,90.010,84.394
25,1,86,86,15,0.990,1,100,25,Local,81.000,82.000,0.000,-141.340,NaN,0.000,21.190,4.176,86.000,86.000,87.827,85.965
26,1,86,86,15,0.990,1,100,26,Local,83.000,90.000,0.000,126.870,NaN,0.000,45.993,-1.816,86.000,86.000,85.356,87.598
27,1,86,86,15,0.990,1,100,27,Local,77.613,98.439,0.000,123.990,NaN,0.000,75.402,3.801,86.000,86.000,83.435,89.203
28,1,86,86,15,0.990,1,100,28,Local,83.000,90.000,0.000,126.870,NaN,0.000,99.712,-1.769,86.000,86.000,81.634,90.759
29,1,86,86,15,0.990,1,100,29,Local,82.000,89.000,0.000,143.130,NaN,0.000,118.391,-1.397,86.000,86.000,80.474,91.638
30,1,86,86,15,0.990,1,100,30,Local,83.000,89.000,0.000,135.000,NaN,0.000,133.892,-0.862,86.000,86.000,79.834,92.539
31,1,86,86,15,0.980,1,100,31,Local,75.393,96.607,0.000,135.000,0.000,0.000,134.706,0.079,86.000,86.000,79.124,93.054
32,1,86,86,15,0.990,1,100,32,Local,75.393,96.607,0.000,135.000,0.000,0.000,135.285,3.718,86.000,86.000,78.508,93.457
33,1,86,86,15,0.990,1,100,33,Local,83.000,89.000,0.000,135.000,0.000,0.000,126.793,1.457,86.000,86.000,78.641,93.517
34,1,86,86,15,0.990,1,100,34,Local,75.393,96.607,0.000,135.000,0.000,0.000,121.037,1.237,86.000,86.000,79.062,93.236
35,1,86,86,15,0.990,1,100,35,Local,75.393,96.607,0.000,135.000,0.000,0.000,115.994,-4.145,86.000,86.000,79.662,92.688
36,1,86,86,15,0.980,1,100,36,Local,75.393,96.607,0.000,135.000,0.000,0.000,111.388,-0.328,86.000,86.000,80.451,91.757
37,1,86,86,15,0.980,1,100,37,Local,95.000,81.000,0.000,-29.055,NaN,0.000,112.924,0.262,86.000,86.000,80.487,91.295
38,1,86,86,15,0.990,1,100,38,Local,82.000,89.000,0.000,143.130,NaN,0.000,113.982,1.502,86.000,86.000,80.590,90.873
39,1,86,86,15,0.990,1,100,39,Local,82.000,89.000,0.000,143.130,0.000,0.000,120.511,2.418,86.000,86.000,80.040,90.998
40,1,86,86,15,0.990,1,100,40,Local,73.561,94.387,0.000,146.010,NaN,0.000,117.865,-0.510,86.000,86.000,80.303,90.699
41,1,86,86,15,0.990,1,100,41,Local,73.561,94.387,0.000,146.010,0.000,0.000,117.382,0.900,86.000,86.000,80.419,90.653
42,1,86,86,15,0.980,1,100,42,Local,83.000,89.000,0.000,135.000,NaN,0.000,119.390,-1.545,86.000,86.000,80.272,90.941
43,1,86,86,15,0.960,1,100,43,Local,75.393,96.607,0.000,135.000,0.000,0.000,112.235,-0.441,86.000,86.000,80.973,90.753
44,1,86,86,15,0.980,1,100,44,Local,94.000,82.000,0.000,-26.565,NaN,0.000,111.035,-0.425,86.000,86.000,80.986,91.077
45,1,86,86,15,0.980,1,100,45,Local,82.000,90.000,0.000,135.000,NaN,0.000,110.069,-4.568,86.000,86.000,81.146,91.272
46,1,86,86,15,0.980,1,100,46,Local,83.000,89.000,0.000,135.000,0.000,0.000,115.159,-0.572,86.000,86.000,80.323,92.168
47,1,86,86,15,0.990,1,100,47,Local,75.393,96.607,0.000,135.000,0.000,0.000,106.283,1.807,86.000,86.000,79.333,92.544
48,1,86,86,15,0.990,1,100,48,Local,75.393,96.607,0.000,135.000,0.000,0.000,87.466,-1.346,86.000,86.000,78.282,92.043
49,1,86,86,15,0.980,1,100,49,Local,75.393,96.607,0.000,135.000,0.000,0.000,76.414,0.830,86.000,86.000,77.284,91.784
50,1,86,86,15,0.980,1,100,50,Local,75.393,96.607,0.000,135.000,0.000,0.000,56.857,-2.423,86.000,86.000,77.033,90.988
51,1,86,86,15,0.980,1,100,51,Local,81.000,82.000,0.000,-141.340,NaN,0.000,46.997,-2.182,86.000,86.000,76.801,90.490
52,1,86,86,15,0.980,1,100,52,Local,73.561,77.613,0.000,-146.010,NaN,0.053,33.526,-3.282,85.947,86.000,77.380,89.437
53,1,86,86,15,0.990,1,100,53,Local,82.000,90.000,0.000,135.000,NaN,0.088,20.610,0.786,85.860,86.000,77.479,88.189
